Name,Capacity,Suitable for,Category,Booking price / hour
Esplanade Hotel (The Espy),2000,gig; disco,Indoor,1000
The Forum,3000,gig; disco,Indoor,1500
Corner Hotel,4000,gig; disco,Indoor,2000
The Tote,5000,gig; disco,Indoor,2500
170 Russell,6000,gig; disco,Indoor,3000
The Croxton Bandroom,7000,gig; disco,Indoor,3500
The Night Cat,2000,gig; disco,Indoor,1000
Rod Lavern Arena,15000,live concert; festival,Convertible,7500
Melbourne Cricket Ground (MCG),100000,large live concert; festival,Outdoor,50000
Docklands Stadium,60000,large live concert; festival,Convertible,30000

Star Arena,60000,General,Concert,1500.0
